name,city,state,website,phone,email,source_url,source_name,product_types_raw,processes_inferred,moq,certs,notes
"D&D Foods, Inc.",Columbus,GA,http://www.foysbbq.com,706-322-4507,orders@foysbbq.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)",sauces,sauces,,,
Ol'Geechees BBQ,Homer,GA,https://www.hogwallerbbq.com/co-packing,912-550-6494,kennydasher@yahoo.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)",sauces,sauces,,,
Country Ranch Foods,Marietta,GA,https://countryranchfoods.com/private-label-custom-pack/,770-792-9000,,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","kettle items (gravies, sauces, soups, stews, broths), oven items, raw sausage",sauces; meat,,,
Coastal Packaging,Newnan,GA,https://www.coastalpackaging.com/co-packing/,678-854-2117,,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","Tea, coffee, juices, energy drinks including organic and gluten-free",beverage,,organic; gluten-free,organic; gluten-free
"Braswell's Foods, Inc.",Statesboro,GA,https://www.braswells.com,800-673-9388,customerservice@braswells.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","jams, jellies, dressings, marinades, sauces, honeys, toppings",sauces,,,
Custom Beverage Concepts,Tallapoosa,GA,https://www.custombeverageconcepts.com/,770-574-9899,tyc18@custombeverageconcepts.com,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","hot and cold beverages, sweetener, creamer, protein shakes",beverage,,,
True Spice,Tucker,GA,https://www.truespicefoods.com/,404-502-2394,,https://edis.ifas.ufl.edu/publication/FS380,"UF/IFAS Extension — Finding and Using a Co-packer (FS380 PDF, Florida & Georgia list)","spice blends, functional beverages, superfood blends, protein blends, coffee, tea",beverage,,,
National Foodwork Services,Decatur,IL,http://nationalfoodworks.com/,217.330.8512,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
PacMoore Innovation Lab,Gridley,IL,https://www.pacmoore.com/contract-manufacturing/processing/extrusion/,866-610-2666,jwarren@pacmoore.com,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
"National Foodworks Services, LLC",,IL,http://www.nationalfoodworks.com/,,,https://ucfoodquality.ucdavis.edu/food-industry-contacts/co-packers,"UC Food Quality — Co-Packers (Mostly California) page, last update March 16 2026",,,,,
PacMoore Products (Corporate Headquarters),Hammond,IN,,,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
PacMoore Process Technologies,Mooresville,IN,https://www.pacmoore.com,866-610-2666,jwarren@pacmoore.com,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
Chubby's Sauce,Bernardston,MA,http://www.chubbysauce.com,413-478-2103,info@chubbysauce.com,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Acidified Foods, Thermal Process-(Hot Pack), Automated Filling Line, 4 ounce to 1 Gallon, Plastic and Glass Containers, Product Development and Consultation",hot-fill; acidified,,,
UTEC Community Kitchen,Lowell,MA,https://utecinc.org/,978.856.3951,uteckitchen@utecinc.org,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,Listed in Cornell kitchens/co-packers directory; may include shared-use services.
Five Way Foods,New Bedford,MA,https://www.flavorfirstfoods.com/,774-249-2013,jonathan@fivewayfoods.comphone,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Flexible co-packer partner for large and small brands, automated production for a wide range glass and plastic packaging. Specialize in sauces, broths, dressings, salsas and other hot or cold fill products. On-site dry and refrigerator storage. Along with fulfillment services for wholesale and direct to consumer.",cold-fill; sauces,,,Listed in Cornell kitchens/co-packers directory; may include shared-use services.
Avon Food Company,Stoughton,MA,https://avonfood.com/,781-341-3341,info@avonfood.com,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Capabilities Include: Acidified Foods, Thermal Process-(Hot Pack), Dry Spice Blending/Filling, Plastic and Glass Containers, Product Development and Consultation",hot-fill; acidified,,,
Cape Cod Provisions,Wareham,MA,http://www.capecodprovisions.com,506-776-0499,jack@capecodprovisions.com,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Bag and fill machine for private label candy, confectionary products and much more.",chocolate,,,
Tulkoff Food Products,Baltimore,MD,https://www.tulkoff.com/,800-638-7343,info@tulkoff.com,https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,Penn State Extension — List of Co-packers in Pennsylvania and Beyond (updated Dec 16 2025),"Co-pack manufacturer of condiments, specialty sauces, and dressings for food service, retail, or industrial-sized customers. Headquartered in Baltimore, MD with a secondary facility in Pittsburgh, CA, facilities are SQF and FDA certified.",sauces,,SQF; FDA,"Contact: Ruth Bohls, Director of Marketing"
Maryland Packaging,Elkridge,MD,https://marylandpackaging.com/,410-540-9700,,https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,Penn State Extension — List of Co-packers in Pennsylvania and Beyond (updated Dec 16 2025),"Commercial Kitchen, Co-Packing, Commercial juicing, Logistics, Cold Storage",,,,
Mama Vida Inc.,Randallstown,MD,,410-521-0742,info@mamavida.com,https://extension.psu.edu/list-of-co-packers-in-pennsylvania-and-beyond/,Penn State Extension — List of Co-packers in Pennsylvania and Beyond (updated Dec 16 2025),Small batch acidified foods,acidified,,,Contact: Nila Mechali
G.M. Allen,Blue Hill,ME,,207-469-7060,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
Cold and hot pack; Dry Mixes,Gray,ME,,207-657-6446,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,"Small, specialty foods manufacturer and co-packer specializing in working with small producers and start-up companies and responding to the needs of the producer seeking broader distribution for their products. Production consulting services include UPC procurement, test batch preparation, shelf life testing, nutritional analysis, label consulting, and recipe scaling.",,,,
DennyMike's Sauces & Seasonings,Westbrook,ME,http://www.dennymikes.com,207-591-5084,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
W.S. Wells & Son,Wilton,ME,,207-645-3393,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
Freestone Pickle Company Inc.,Bangor,MI,http://freestonepickles.com,269-427-7702,freestonepickles@freestonepickles.com,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),Food service pickles and relishes; contract tanking,,,,Mentions contract tanking
Coloma Frozen Foods,Coloma,MI,,269-944-1421,,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),"Frozen asparagus, rhubarb, tart cherries, blueberries, apples, fruit juice concentrates; poly repacking",beverage; frozen,,,MFPA processor listing
Burnette Foods,Elk Rapids,MI,,231-264-8116,,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),"Canned pie fillings, cherries, plums, applesauce; additional plants East Jordan, Hartford, New Era",canning,,,MFPA processor listing; multiple plants
Michigan Freeze Pack,Hart,MI,http://michiganfreezepack.com,231-873-2175,afletcher@michiganfreezepack.com,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),Frozen IQF vegetables; bagging services,frozen,,,Bagging services stated
"Harrison Packing Co., Inc.",Kalamazoo,MI,http://harrisonpacking.com,269-381-3837,,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),Pickle and pepper products; brine stock and contract tanking,,,,Mentions contract tanking
Honee Bear Canning Company,Lawton,MI,http://honeebear.com,269-624-4681,,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),"Canned asparagus, cherries, plums, pie filling, blueberries, potatoes, carrots, dry beans, apples, soups; frozen fruit",canning; frozen,,,Staff listing includes Purchasing/Co-Pack Liaison
"Indian Summer Cooperative, Inc.",Ludington,MI,,231-845-6248,dhackert@indiansummercoop.com,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),"RTP cherries, apple juice, flavored juices, applesauce, flavored sauces, apple slices, concentrates",beverage; sauces,,,MFPA processor listing
Michigan Food Processor Coop. Inc.,Ludington,MI,,231-845-6248,,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),"Frozen tart cherries, IQF cherries, frozen apple slices, fresh asparagus",frozen,,,MFPA processor listing
Bayview Food Products / Mr. Chips Inc.,Pinconning,MI,,,,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),"Pickles, relish and peppers",,,,MFPA processor listing; co-pack not explicitly stated
Traverse Bay Farms,South Bellaire,MI,https://www.traversebayfarms.com/,1-231-533-8788,,https://cals.cornell.edu/cornell-agritech/partners-institutes/cornell-food-venture-center/kitchensco-packers,Cornell Food Venture Center — Kitchens/Co-Packers,,,,,
Leelanau Fruit Company,Suttons Bay,MI,http://leelanaufruit.com,231-271-3514,al@leelanaufruit.com,https://www.michfpa.org/processors/,Michigan Food Processors Association — Processors roster (processors; co-pack not always stated),"Frozen strawberries, plums, tart and sweet cherries, brined sweet cherries",frozen,,,MFPA processor listing
Mille Lacs Wild Rice Corporation,Aitkin,MN,,800-626-3809,joe@canoewildrice.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Wild rice, wild rice blends, other rices",,typically no order minimums,,
Particle Control Inc.,Albertville,MN,,763-497-3075,jerry@particlecontrolinc.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Toll milling, blending, packaging, air classifying",,100 pounds,,Capacity 100 ton/week
Northwestern Foods Inc.,Arden Hills,MN,,,sales@northwesternfoods.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Dry blending, VFFS; dry mixes (beverages, cocoas, teas, lattes, bakery items)",bakery; beverage; dry-blend,"2,000 pounds/item",kosher; halal; BRC,
Riffs Smokehouse,Arden Hills,MN,,651-955-6133,ethan@riffssmokehouse.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"USDA meat facility: cook/smoke, pack, ship meat; BBQ sauce and other sauces",sauces; meat,varies by product,USDA,
InHarvest Inc.,Bemidji,MN,,800-346-7032,johnw@inharvest.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Grains, rice, beans, lentils; parboiling, blending, scarifying",,"24 pounds stock; 2,000 pounds custom",,
Fiberich Technologies Inc.,Bloomington,MN,,952-920-8054,fiberichtech@gmail.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Legume flours and high fiber baking concentrate flour,,"one pallet (2,000 pounds)",,
"Nikola's Foods, Nikola's Bakery",Bloomington,MN,,952-253-5991,dir@nikolasbakery.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Full-service bakery, custom baking, private label and co-packing",bakery,case-by-case,AIB; FDA; kosher; HACCP,"35,000 sq ft bakery plus 15,000 sq ft gluten-free manufacturing"
Abdallah Candies,Burnsville,MN,,952-890-4770,service@abdallahcandies.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Toffee, caramels, creams, clusters, barks, and nougats",,varies,,"Capacity: 5,000 pounds per day"
Buddy's Kitchen Inc.,Burnsville,MN,,952-894-2540,,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Frozen sandwiches, burritos, breakfast entrees, grilled bread",frozen,,,Selectively works with early-stage companies
Quality Ingredients Corporation,Burnsville,MN,,952-898-4002,sales@qic.us,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Contract spray drying and spray chilling,spray-dry,500 pounds typically,,
Sno Pac Foods,Caledonia,MN,,507-725-5281,snopac@snopac.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Frozen vegetables,frozen,"Processing 40,000 pounds raw; packaging 20,000 pounds; ingredient sales no minimum",organic,
Lorentz Meats,Cannon Falls,MN,,507-263-3618,jpeterson@lorentzmeats.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Beef and bison slaughter, specialty meat packaging, sausage",meat,varies by product,,
Bongards Premium Cheese,Chanhassen,MN,,952-277-5555,scott.tomes@bongards.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Processed cheese, natural cheese, cream cheese, and whey",dairy,"10,000 pounds",,
Treehouse Brands dba Enlightened Beverage,Croix,MN,,888-522-2892,info@treehousebrand.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Frappe mix, bakery mix, coffee",bakery; beverage,one case 5 pouches/bags x 3 pounds,,
Dover Processing Inc.,Dover,MN,,507-932-8660,dovermeats@gmail.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"USDA inspected meat processing: sausage, smoked meats, thermoforming, vacuum packaging",meat,contact to discuss,organic (MOSA); Animal Welfare Approved,
Milk Specialties Global,Eden Prairie,MN,,952-942-7310,cbaughman@milkspecialties.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Nutritional powder products: sports nutrition, weight loss, meal replacers",,"10,000 pounds",,
Hamel Maple Syrup Company Inc.,Hamel,MN,,763-478-2353,order@hamelsyrup.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Pure maple syrup, organic maple syrup, blends, granulated maple sugar; private label bottling",,pallet preferred; will discuss,SQF; kosher (cRc); organic; non-GMO (MOSA),
Mile Marker,Inver Grove Heights,MN,,612-229-8593,lee@dashfire.us,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Tin cans and glass bottles for bitters, spirits, RTD canned cocktails",beverage; canning,"1,000 bottles (any size); 70,000-112,000 cans (depending on size)",,
European Roasterie Inc.,Le Center,MN,,507-357-3008,thomas@euroroast.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Roasted coffee,beverage,50 pounds per SKU,,
Maud Borup,Le Center,MN,,866-678-6283,randy@maudborup.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Candy, snacks, powdered mixes, hot sauces",snacks; sauces; dry-blend; chocolate,"4,000 units",,
North Star Processing LLC,Litchfield,MN,,320-693-7211,mholmgren@nsp-llc.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Spray dried powders: flavors, sweeteners, coloring, dairy ingredients, proteins",dairy; spray-dry,varies with products,kosher (OU); organic (QAI),
All American Foods Inc.,Mankato,MN,,800-833-2661,amys@aafoods.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Dried, co-dried, and dry blended bulk ingredients (cheese powders, cultured dairy powders)",dairy; dry-blend,to be determined,,
Schwan's Global Supply Chain Inc.,Marshall,MN,,507-537-8189,maryjo.martinson@schwans.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Frozen foods: ice cream, bakery desserts, convenience foods, sauces",bakery; dairy; frozen; sauces,varies by product category,,
At Last! Gourmet Foods,Minneapolis,MN,,,info@atlastgourmetfoods.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Soups, sauces, marinades, dips, spreads",sauces,"1 pallet (1,200 pounds)",USDA; organic; SQF level II,"USDA inspected. Capacity: 30,000 pounds per customer per day"
Bare Honey & Co. Food Manufacturing,Minneapolis,MN,,612-315-3952,info@barehoney.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Pure and infused honeys, jams, jellies, sauces, drink mixers",sauces,200 gallons,organic; FDA; HACCP,"Certified organic facility, FDA-registered, MN licensed wholesale manufacturer. Max 12,000 gal/month"
Better Bev Co (Buch Fermentary and Taproom),Minneapolis,MN,,612-720-1020,ryan@buchbev.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"THC seltzers, kombucha products",beverage,negotiable,,Capacity approximately 280 barrels
Big Watt Inc.,Minneapolis,MN,,612-354-2897,,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Whole bean coffee, RTD cold press coffee, sparkling beverages, CBD products",beverage,"2,500 units",,"Also Wisconsin facility. MN 10,000 cases/month; WI 25,000 cases/month"
Coffeewomple,Minneapolis,MN,,952-270-8923,nicole@coffewomple.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Whole bean and ground coffee,beverage,no minimums on stock coffee; ~16 pound minimum on custom batches,,
Fischer's United Supply Inc.,Minneapolis,MN,,612-379-3333,,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Acid or acidified condiments, BBQ sauces to jams, 4-oz jars to 55-gallon drums",acidified; sauces,500 pounds,organic,"Average full production day 3,200 pounds"
G.O. Fresh,Minneapolis,MN,,612-256-1770,,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Fresh pre-cut fruits and vegetables,,varies,organic; USDA,
Gourmet CoPack,Minneapolis,MN,,414-339-2980,info@gourmetcopack.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Jams, jellies, conserves, preserves, chutneys, pickled products, sauces, honey",sauces,"1,000 units",,
Olsen Fish Company,Minneapolis,MN,,612-287-0838,cdorff@olsenfish.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Pickled products, creamed products, brines, non-heat treated; jarred product",,negotiable,kosher; FDA,
Swanson Meats,Minneapolis,MN,,612-468-2014,ross@swansonmeats.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Cutting steaks and chops, grinding proprietary blends; all meats",,,SQF; halal; gluten-free,Child Nutrition Label certified
Karlsburger Foods Inc.,Monticello,MN,,763-295-2273,matthewm@karlsburger.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Soup bases, sauces, spices and seasoning blends, gravy mixes",sauces; dry-blend,no minimum on stock; 150 pounds custom seasoning/dry blends; 300 pounds custom bases,SQF level 2; USDA; FDA; organic; halal; HACCP,"Capacity up to 66,000 pounds a day"
Crested River,Morgan,MN,,507-430-8351,shawn@criver.cc,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Oils, topicals, edibles, beverages; cans, kegs, glass, jars, mylar",beverage,,,Beverage pilot line 2 to 40 BBL
Krienke Foods International Inc.,Mountain Lake,MN,,651-238-4770,caleb@popdkerns.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Crunchy corn and legume snacks, fried pasta snacks, roasted legumes, trail mixes",snacks,Negotiable,SQF,Costco-approved contract snack manufacturer
Mixly Cocktail Co.,New Hope,MN,,952-200-6684,johnna@mixlycocktailco.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Cocktail mixers, syrups, mocktails, beverage concentrates; hot and cold fill",cold-fill; beverage,"To be determined on product type, packaging and formula",,Small batch (500 bottles) to large runs (20k+ bottles)
Sutton Investments (DBA Healthy For Life Meals),New Hope,MN,,612-770-8755,jimkeegan@healthyforlifemeals.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Nutritionally controlled fully prepared fresh single serve meals,,,,
The Secret Garden,Park Rapids,MN,,218-732-4866,sgmorg@wcta.net,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Dehydrated soups; entree mixes; quick bread and pancake mixes; dip and seasoning mixes,dry-blend; dehydration,,,
Maple Island Inc.,Paul,MN,,651-773-1000,info@maple-island.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Dry blend and canister fill powdered products including milk and protein powders, infant formula",dry-blend,,,
Smude Enterprises,Pierz,MN,,320-468-6925,tom@smudeoil.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Co-packing dry goods up to 2 pounds; oil bottling any size,,any,,
Food Service Specialties,Red Wing,MN,,800-657-0811,jordanp@foodservicespecialties.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Tomato-based and dairy-based sauces and dips; pouches and totes,dairy; sauces,"approximately 1,000 gallons with annual volume expectation of 5,000 gallons",,
Sturdiwheat Inc.,Red Wing,MN,,651-385-9300,pancakes@sturdiwheat.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),All natural and organic certified dry mixing and packaging,dry-blend,"1,000 units",organic,Does not run nuts through system
NLC Beverage Company Inc.,Rice,MN,,844-314-5252,troy@newlifecoffee.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Bagged coffee, mushroom coffee, single serve, RTD CBD beverages and mocktails, cold brew",beverage,,,
Reichel Foods Inc.,Rochester,MN,,507-289-7264,craig@reichelfoods.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Produce, proteins, shelf-stable, perishable processing and packaging",,,,
Pan O Gold Baking Company,Saint Cloud,MN,,320-251-9361,mubl@panogold.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Fresh baked breads and buns,,varies,,
"MBH, LLC",Saint Louis Park,MN,,612-386-0143,brett.struwe@sustenancecoffee.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Roasted whole bean and ground packaged coffee,beverage,,,
Bix Produce Company,Saint Paul,MN,,651-487-8000,spagel@bixproduce.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Fresh boxed and fresh-cut fruits and vegetables,,contact to discuss,,
Captain Ken's Foods,Saint Paul,MN,,651-298-0071,jtraxler@captainkens.com,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),Frozen foods,frozen,"annual 100,000 pounds",USDA; FDA,
Chippewa Packaging Inc.,Saint Peter,MN,,507-931-5510,,https://www.mda.state.mn.us/minnesota-co-packer-directory,Minnesota Department of Agriculture — Minnesota Co-Packer Directory (reviewed 2018; updated 2022; detailed listings live as of fetch),"Dry food packaging: pre-made pouches, form fill and seal; blending",,to be determined,SQF level 3; organic; kosher,
